"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"28 февр. 2019 г.","8,240","8,240","8,270","8,150","","0,00%"
"27 февр. 2019 г.","8,240","8,290","8,390","8,160","","-0,24%"
"26 февр. 2019 г.","8,260","8,230","8,260","8,130","","1,47%"
"25 февр. 2019 г.","8,140","8,060","8,200","7,990","","-0,25%"
"22 февр. 2019 г.","8,160","8,280","8,290","8,160","","-2,04%"
"21 февр. 2019 г.","8,330","8,340","8,410","8,210","","0,48%"
"20 февр. 2019 г.","8,290","8,370","8,430","8,260","","-1,31%"
"19 февр. 2019 г.","8,400","8,470","8,490","8,320","","-0,24%"
"15 февр. 2019 г.","8,420","8,490","8,560","8,420","","-2,21%"
"14 февр. 2019 г.","8,610","8,570","8,630","8,460","","1,65%"
"13 февр. 2019 г.","8,470","8,510","8,550","8,440","","-1,17%"
"12 февр. 2019 г.","8,570","8,470","8,580","8,450","","-0,70%"
"11 февр. 2019 г.","8,630","8,590","8,670","8,550","","-0,35%"
"08 февр. 2019 г.","8,660","8,770","8,850","8,590","","-0,46%"
"07 февр. 2019 г.","8,700","8,690","8,870","8,620","","1,75%"
"06 февр. 2019 г.","8,550","8,550","8,610","8,470","","-0,58%"
"05 февр. 2019 г.","8,600","8,640","8,640","8,450","","-0,92%"
"04 февр. 2019 г.","8,680","8,870","8,910","8,650","","-2,25%"
"01 февр. 2019 г.","8,880","8,960","9,000","8,830","","-1,00%"
"31 янв. 2019 г.","8,970","9,160","9,170","8,940","","-2,29%"
"30 янв. 2019 г.","9,180","9,270","9,360","9,140","","-0,86%"
"29 янв. 2019 г.","9,260","9,320","9,420","9,250","","-1,38%"
"28 янв. 2019 г.","9,390","9,370","9,480","9,290","","2,18%"
"25 янв. 2019 г.","9,190","9,250","9,290","9,170","","-2,13%"
"24 янв. 2019 г.","9,390","9,570","9,600","9,340","","-1,68%"
"23 янв. 2019 г.","9,550","9,400","9,790","9,400","","-0,10%"
"22 янв. 2019 г.","9,560","9,260","9,610","9,260","","3,58%"
"18 янв. 2019 г.","9,230","9,250","9,350","9,150","","-1,07%"
"17 янв. 2019 г.","9,330","9,430","9,480","9,330","","-1,27%"
"16 янв. 2019 г.","9,450","9,320","9,480","9,270","","0,00%"
"15 янв. 2019 г.","9,450","9,640","9,640","9,320","","-2,28%"
"14 янв. 2019 г.","9,670","9,770","9,850","9,570","","-0,41%"
"11 янв. 2019 г.","9,710","9,920","9,940","9,680","","-1,42%"
"10 янв. 2019 г.","9,850","9,910","10,000","9,810","","-0,40%"
"09 янв. 2019 г.","9,890","9,900","9,960","9,770","","-0,60%"
"08 янв. 2019 г.","9,950","10,000","10,180","9,940","","-1,00%"
"07 янв. 2019 г.","10,050","10,130","10,250","9,940","","-0,89%"
"04 янв. 2019 г.","10,140","10,490","10,580","10,130","","-6,28%"
"03 янв. 2019 г.","10,820","10,590","11,000","10,550","","4,14%"
"02 янв. 2019 г.","10,390","11,020","11,070","10,350","","-2,72%"
"31 дек. 2018 г.","10,680","10,750","10,870","10,640","","-3,09%"
"28 дек. 2018 г.","11,020","11,040","11,310","10,870","","0,64%"
"27 дек. 2018 г.","10,950","11,090","11,500","10,940","","1,39%"
"26 дек. 2018 г.","10,800","10,890","11,120","10,710","","-2,35%"
"24 дек. 2018 г.","11,060","11,130","11,270","11,050","","0,18%"
"21 дек. 2018 г.","11,040","10,890","11,100","10,680","","1,75%"
"20 дек. 2018 г.","10,850","10,890","11,210","10,800","","0,28%"
"19 дек. 2018 г.","10,820","10,710","10,910","10,450","","1,03%"
"18 дек. 2018 г.","10,710","10,480","10,840","10,470","","1,61%"
"17 дек. 2018 г.","10,540","10,370","10,720","10,300","","2,63%"
"14 дек. 2018 г.","10,270","10,240","10,390","10,170","","1,58%"
"13 дек. 2018 г.","10,110","10,060","10,240","9,970","","-0,10%"
"12 дек. 2018 г.","10,120","9,960","10,160","9,930","","0,00%"
"11 дек. 2018 г.","10,120","9,920","10,360","9,900","","0,70%"
"10 дек. 2018 г.","10,050","10,130","10,510","10,050","","-0,40%"
"07 дек. 2018 г.","10,090","9,700","10,250","9,600","","4,13%"
"06 дек. 2018 г.","9,690","10,080","10,350","9,680","","0,62%"
"04 дек. 2018 г.","9,630","9,090","9,670","9,010","","7,12%"
"03 дек. 2018 г.","8,990","8,960","9,090","8,940","","-3,54%"
"30 нояб. 2018 г.","9,320","9,600","9,610","9,300","","-2,41%"
"29 нояб. 2018 г.","9,550","9,550","9,760","9,480","","0,95%"
"28 нояб. 2018 г.","9,460","9,590","9,750","9,400","","-2,37%"
"27 нояб. 2018 г.","9,690","9,880","9,930","9,670","","-1,22%"
"26 нояб. 2018 г.","9,810","10,050","10,050","9,780","","-4,20%"
"23 нояб. 2018 г.","10,240","10,250","10,280","10,100","","0,59%"
"21 нояб. 2018 г.","10,180","10,130","10,220","10,060","","-0,49%"
"20 нояб. 2018 г.","10,230","10,200","10,340","10,080","","4,18%"
"19 нояб. 2018 г.","9,820","9,480","9,910","9,450","","3,81%"
"16 нояб. 2018 г.","9,460","9,860","9,900","9,450","","-3,17%"
"15 нояб. 2018 г.","9,770","9,930","10,110","9,740","","-0,51%"
"14 нояб. 2018 г.","9,820","9,480","9,940","9,470","","2,40%"
"13 нояб. 2018 г.","9,590","9,510","9,740","9,430","","1,16%"
"12 нояб. 2018 г.","9,480","9,090","9,540","9,090","","3,83%"
"09 нояб. 2018 г.","9,130","8,970","9,190","8,950","","2,24%"
"08 нояб. 2018 г.","8,930","8,970","8,990","8,750","","-0,11%"
"07 нояб. 2018 г.","8,940","9,180","9,180","8,920","","-4,49%"
"06 нояб. 2018 г.","9,360","9,670","9,680","9,330","","-3,01%"
"05 нояб. 2018 г.","9,650","9,790","9,840","9,580","","-1,13%"
"02 нояб. 2018 г.","9,760","9,560","10,120","9,420","","0,72%"
"01 нояб. 2018 г.","9,690","10,060","10,230","9,660","","-4,44%"
"31 окт. 2018 г.","10,140","10,150","10,320","9,870","","-2,69%"
"30 окт. 2018 г.","10,420","10,830","10,940","10,310","","-2,43%"
"29 окт. 2018 г.","10,680","10,310","11,270","10,150","","2,30%"
"26 окт. 2018 г.","10,440","10,770","11,130","10,340","","0,87%"
"25 окт. 2018 г.","10,350","10,260","10,550","9,910","","1,37%"
"24 окт. 2018 г.","10,210","9,530","10,530","9,460","","8,96%"
"23 окт. 2018 г.","9,370","10,000","10,310","9,370","","1,08%"
"22 окт. 2018 г.","9,270","9,090","9,630","9,070","","0,98%"
"19 окт. 2018 г.","9,180","9,140","9,480","8,940","","0,11%"
"18 окт. 2018 г.","9,170","8,770","9,570","8,770","","7,50%"
"17 окт. 2018 г.","8,530","8,550","9,090","8,530","","-0,81%"
"16 окт. 2018 г.","8,600","8,830","8,900","8,520","","-5,60%"
"15 окт. 2018 г.","9,110","9,060","9,260","8,900","","2,59%"
"12 окт. 2018 г.","8,880","8,800","9,500","8,790","","-2,09%"
"11 окт. 2018 г.","9,070","8,930","9,620","8,820","","0,89%"
"10 окт. 2018 г.","8,990","8,290","9,010","8,290","","9,63%"
"09 окт. 2018 г.","8,200","8,300","8,380","8,100","","0,37%"
"08 окт. 2018 г.","8,170","8,230","8,550","8,130","","1,36%"
"05 окт. 2018 г.","8,060","8,000","8,360","7,930","","1,00%"
"04 окт. 2018 г.","7,980","7,920","8,230","7,920","","1,79%"
"03 окт. 2018 г.","7,840","7,800","7,910","7,780","","-0,76%"
"02 окт. 2018 г.","7,900","7,850","7,910","7,770","","0,64%"
"01 окт. 2018 г.","7,850","7,770","7,900","7,740","","-0,38%"
"28 сент. 2018 г.","7,880","7,950","7,980","7,850","","-0,38%"
"27 сент. 2018 г.","7,910","7,910","7,930","7,820","","-1,00%"
"26 сент. 2018 г.","7,990","7,860","8,020","7,820","","1,40%"
"25 сент. 2018 г.","7,880","7,800","7,940","7,760","","0,51%"
"24 сент. 2018 г.","7,840","7,950","8,020","7,840","","-1,13%"
"21 сент. 2018 г.","7,930","7,860","7,940","7,810","","1,02%"
"20 сент. 2018 г.","7,850","7,860","7,930","7,830","","-0,88%"
"19 сент. 2018 г.","7,920","7,890","7,930","7,830","","-0,38%"
"18 сент. 2018 г.","7,950","7,930","8,000","7,830","","0,00%"
"17 сент. 2018 г.","7,950","7,820","7,970","7,790","","1,92%"
"14 сент. 2018 г.","7,800","7,840","7,920","7,770","","-1,14%"
"13 сент. 2018 г.","7,890","7,930","7,930","7,850","","-1,87%"
"12 сент. 2018 г.","8,040","8,100","8,120","7,980","","-0,99%"
"11 сент. 2018 г.","8,120","8,370","8,400","8,100","","-2,40%"
"10 сент. 2018 г.","8,320","8,360","8,400","8,280","","-2,23%"
"07 сент. 2018 г.","8,510","8,470","8,540","8,350","","0,71%"
"06 сент. 2018 г.","8,450","8,260","8,470","8,240","","2,18%"
"05 сент. 2018 г.","8,270","8,220","8,330","8,200","","1,47%"
"04 сент. 2018 г.","8,150","8,220","8,320","8,140","","0,25%"
"31 авг. 2018 г.","8,130","8,310","8,330","8,130","","-2,05%"
"30 авг. 2018 г.","8,300","8,190","8,370","8,140","","1,97%"
"29 авг. 2018 г.","8,140","8,100","8,190","8,070","","0,00%"
"28 авг. 2018 г.","8,140","8,010","8,160","8,000","","0,62%"
"27 авг. 2018 г.","8,090","7,960","8,090","7,950","","0,37%"
"24 авг. 2018 г.","8,060","8,010","8,070","7,940","","-0,37%"
"23 авг. 2018 г.","8,090","8,030","8,090","7,940","","0,75%"
"22 авг. 2018 г.","8,030","8,010","8,090","7,990","","-0,50%"
"21 авг. 2018 г.","8,070","7,900","8,090","7,850","","1,64%"
"20 авг. 2018 г.","7,940","7,940","8,000","7,900","","-1,00%"
"17 авг. 2018 г.","8,020","8,200","8,220","7,980","","-1,47%"
"16 авг. 2018 г.","8,140","8,190","8,250","8,050","","-1,45%"
"15 авг. 2018 г.","8,260","8,320","8,620","8,260","","1,47%"
"14 авг. 2018 г.","8,140","8,280","8,360","8,100","","-2,75%"
"13 авг. 2018 г.","8,370","8,170","8,380","8,020","","2,70%"
"10 авг. 2018 г.","8,150","8,160","8,180","8,040","","2,52%"
"09 авг. 2018 г.","7,950","7,900","7,950","7,840","","0,38%"
"08 авг. 2018 г.","7,920","7,910","7,940","7,830","","0,13%"
"07 авг. 2018 г.","7,910","7,990","8,000","7,900","","-1,98%"
"06 авг. 2018 г.","8,070","8,210","8,230","8,020","","-1,82%"
"03 авг. 2018 г.","8,220","8,230","8,260","8,140","","-0,48%"
"02 авг. 2018 г.","8,260","8,460","8,480","8,210","","-0,60%"
"01 авг. 2018 г.","8,310","8,260","8,340","8,190","","0,36%"
"31 июл. 2018 г.","8,280","8,310","8,390","8,260","","-2,47%"
"30 июл. 2018 г.","8,490","8,290","8,510","8,280","","1,68%"
"27 июл. 2018 г.","8,350","8,210","8,470","8,190","","1,09%"
"26 июл. 2018 г.","8,260","8,240","8,290","8,180","","0,24%"
"25 июл. 2018 г.","8,240","8,290","8,290","8,150","","-0,24%"
"24 июл. 2018 г.","8,260","8,140","8,370","8,140","","-0,24%"
"23 июл. 2018 г.","8,280","8,310","8,390","8,250","","-0,72%"
"20 июл. 2018 г.","8,340","8,310","8,350","8,240","","0,85%"
"19 июл. 2018 г.","8,270","8,280","8,310","8,210","","0,61%"
"18 июл. 2018 г.","8,220","8,170","8,260","8,110","","0,49%"
"17 июл. 2018 г.","8,180","8,230","8,240","8,070","","0,12%"
"16 июл. 2018 г.","8,170","8,160","8,240","8,100","","0,25%"
"13 июл. 2018 г.","8,150","8,210","8,280","8,120","","-0,73%"
"12 июл. 2018 г.","8,210","8,260","8,320","8,170","","-1,91%"
"11 июл. 2018 г.","8,370","8,440","8,460","8,280","","1,95%"
"10 июл. 2018 г.","8,210","8,290","8,350","8,180","","-1,32%"
"09 июл. 2018 г.","8,320","8,530","8,540","8,300","","-4,48%"
"06 июл. 2018 г.","8,710","8,890","8,920","8,660","","-2,35%"
"05 июл. 2018 г.","8,920","8,960","9,060","8,880","","-2,09%"
"03 июл. 2018 г.","9,110","8,910","9,120","8,890","","1,45%"
"02 июл. 2018 г.","8,980","9,200","9,280","8,970","","0,00%"
"29 июн. 2018 г.","8,980","8,860","9,000","8,760","","-0,44%"
"28 июн. 2018 г.","9,020","9,140","9,360","9,010","","-1,31%"
"27 июн. 2018 г.","9,140","8,790","9,170","8,660","","3,39%"
"26 июн. 2018 г.","8,840","8,800","8,930","8,740","","0,00%"
"25 июн. 2018 г.","8,840","8,480","9,100","8,480","","5,36%"
"22 июн. 2018 г.","8,390","8,270","8,400","8,270","","-1,06%"
"21 июн. 2018 г.","8,480","8,270","8,540","8,260","","2,91%"
"20 июн. 2018 г.","8,240","8,160","8,300","8,130","","-0,36%"
"19 июн. 2018 г.","8,270","8,310","8,390","8,190","","2,61%"
"18 июн. 2018 г.","8,060","8,270","8,330","8,050","","-0,86%"
"15 июн. 2018 г.","8,130","8,240","8,290","8,130","","-0,61%"
"14 июн. 2018 г.","8,180","8,170","8,200","8,070","","-2,04%"
"13 июн. 2018 г.","8,350","8,210","8,360","8,160","","0,97%"
"12 июн. 2018 г.","8,270","8,210","8,310","8,200","","0,24%"
"11 июн. 2018 г.","8,250","8,270","8,330","8,220","","-0,48%"
"08 июн. 2018 г.","8,290","8,400","8,400","8,220","","0,24%"
"07 июн. 2018 г.","8,270","8,180","8,410","8,160","","0,61%"
"06 июн. 2018 г.","8,220","8,360","8,390","8,180","","-1,91%"
"05 июн. 2018 г.","8,380","8,470","8,500","8,370","","-1,06%"
"04 июн. 2018 г.","8,470","8,560","8,580","8,450","","-2,53%"
"01 июн. 2018 г.","8,690","8,700","8,750","8,640","","-3,34%"
"31 мая 2018 г.","8,990","8,880","9,040","8,860","","1,01%"
"30 мая 2018 г.","8,900","8,800","8,920","8,720","","0,11%"
"29 мая 2018 г.","8,890","8,700","8,970","8,570","","3,98%"
"25 мая 2018 г.","8,550","8,540","8,570","8,420","","0,94%"
"24 мая 2018 г.","8,470","8,520","8,720","8,460","","-0,24%"
"23 мая 2018 г.","8,490","8,760","8,810","8,470","","-1,39%"
"22 мая 2018 г.","8,610","8,450","8,630","8,430","","1,18%"
"21 мая 2018 г.","8,510","8,530","8,580","8,450","","-2,85%"
"18 мая 2018 г.","8,760","8,670","8,790","8,640","","0,92%"
"17 мая 2018 г.","8,680","8,790","8,810","8,630","","-1,03%"
"16 мая 2018 г.","8,770","8,870","8,870","8,680","","-1,79%"
"15 мая 2018 г.","8,930","8,700","8,940","8,690","","4,20%"
"14 мая 2018 г.","8,570","8,670","8,670","8,510","","-1,72%"
"11 мая 2018 г.","8,720","8,860","8,880","8,720","","-2,13%"
"10 мая 2018 г.","8,910","9,160","9,160","8,860","","-2,84%"
"09 мая 2018 г.","9,170","9,320","9,350","9,140","","-2,24%"
"08 мая 2018 г.","9,380","9,440","9,500","9,360","","-0,42%"
"07 мая 2018 г.","9,420","9,390","9,450","9,340","","0,11%"
"04 мая 2018 г.","9,410","9,640","9,680","9,380","","-0,95%"
"03 мая 2018 г.","9,500","9,610","9,870","9,480","","-1,04%"
"02 мая 2018 г.","9,600","9,480","9,610","9,310","","1,48%"
"01 мая 2018 г.","9,460","9,730","9,730","9,450","","-2,17%"
"30 апр. 2018 г.","9,670","9,590","9,690","9,510","","0,21%"
"27 апр. 2018 г.","9,650","9,670","9,810","9,620","","-0,31%"
"26 апр. 2018 г.","9,680","9,830","9,900","9,630","","-2,62%"
"25 апр. 2018 г.","9,940","9,840","10,070","9,830","","1,33%"
"24 апр. 2018 г.","9,810","9,550","10,180","9,520","","1,24%"
"23 апр. 2018 г.","9,690","9,720","9,810","9,540","","-0,62%"
"20 апр. 2018 г.","9,750","9,610","9,810","9,570","","1,14%"
"19 апр. 2018 г.","9,640","9,710","9,800","9,570","","0,42%"
"18 апр. 2018 г.","9,600","9,810","9,960","9,490","","-1,54%"
"17 апр. 2018 г.","9,750","9,910","9,940","9,620","","-2,89%"
"16 апр. 2018 г.","10,040","10,180","10,180","9,980","","-2,81%"
"13 апр. 2018 г.","10,330","10,400","10,510","10,300","","-1,90%"
"12 апр. 2018 г.","10,530","10,690","10,710","10,500","","-2,86%"
"11 апр. 2018 г.","10,840","10,860","10,910","10,690","","0,93%"
"10 апр. 2018 г.","10,740","10,630","10,850","10,630","","-1,74%"
"09 апр. 2018 г.","10,930","10,690","10,930","10,570","","1,02%"
"06 апр. 2018 г.","10,820","10,590","11,290","10,350","","5,56%"
"05 апр. 2018 г.","10,250","10,530","10,690","10,210","","-3,67%"
"04 апр. 2018 г.","10,640","11,680","11,710","10,590","","-2,30%"
"03 апр. 2018 г.","10,890","11,090","11,400","10,860","","-3,37%"
"02 апр. 2018 г.","11,270","10,760","11,760","10,660","","6,02%"
"29 мар. 2018 г.","10,630","10,890","11,000","10,430","","-4,15%"
"28 мар. 2018 г.","11,090","10,810","11,320","10,760","","2,21%"
"27 мар. 2018 г.","10,850","10,360","11,030","10,360","","4,33%"
"26 мар. 2018 г.","10,400","10,360","10,650","10,300","","-2,44%"
"23 мар. 2018 г.","10,660","10,310","10,760","10,110","","3,90%"
"22 мар. 2018 г.","10,260","10,250","10,440","10,080","","3,32%"
"21 мар. 2018 г.","9,930","9,940","9,990","9,650","","-0,50%"
"20 мар. 2018 г.","9,980","10,030","10,150","9,910","","0,71%"
"19 мар. 2018 г.","9,910","9,800","10,250","9,800","","2,16%"
"16 мар. 2018 г.","9,700","9,790","9,790","9,620","","-1,62%"
"15 мар. 2018 г.","9,860","9,930","10,060","9,780","","-1,40%"
"14 мар. 2018 г.","10,000","9,770","10,100","9,740","","1,42%"
"13 мар. 2018 г.","9,860","9,650","9,940","9,610","","1,23%"
"12 мар. 2018 г.","9,740","9,590","9,800","9,520","","1,46%"
"09 мар. 2018 г.","9,600","9,910","9,910","9,510","","-4,29%"
"08 мар. 2018 г.","10,030","10,080","10,160","9,980","","-1,18%"
"07 мар. 2018 г.","10,150","10,350","10,440","10,150","","-0,29%"
"06 мар. 2018 г.","10,180","9,970","10,330","9,960","","1,29%"
"05 мар. 2018 г.","10,050","10,420","10,420","10,000","","-1,95%"
"02 мар. 2018 г.","10,250","10,760","10,860","10,210","","-1,06%"
"01 мар. 2018 г.","10,360","10,000","10,640","9,930","","3,81%"
"28 февр. 2018 г.","9,980","9,620","10,090","9,600","","2,99%"
"27 февр. 2018 г.","9,690","9,430","9,890","9,380","","3,97%"
"26 февр. 2018 г.","9,320","9,440","9,530","9,300","","-2,82%"
"23 февр. 2018 г.","9,590","9,900","9,970","9,540","","-3,52%"
"22 февр. 2018 г.","9,940","10,000","10,200","9,890","","-2,26%"
"21 февр. 2018 г.","10,170","9,940","10,290","9,620","","1,50%"
"20 февр. 2018 г.","10,020","10,010","10,270","9,770","","2,66%"
"16 февр. 2018 г.","9,760","9,840","9,890","9,360","","1,04%"
"15 февр. 2018 г.","9,660","9,480","10,000","9,460","","-1,93%"
"14 февр. 2018 г.","9,850","10,990","11,070","9,730","","-9,80%"
"13 февр. 2018 г.","10,920","11,370","11,500","10,910","","-0,18%"
"12 февр. 2018 г.","10,940","11,210","11,720","10,890","","-3,19%"
"09 февр. 2018 г.","11,300","11,760","13,010","11,280","","-5,52%"
"08 февр. 2018 г.","11,960","10,700","12,650","10,680","","9,22%"
"07 февр. 2018 г.","10,950","10,630","11,380","10,030","","-3,78%"
"06 февр. 2018 г.","11,380","12,040","12,210","10,390","","-11,85%"
"05 февр. 2018 г.","12,910","9,550","13,400","9,160","","37,93%"
"02 февр. 2018 г.","9,360","8,930","9,380","8,930","","6,24%"
"01 февр. 2018 г.","8,810","9,010","9,050","8,660","","-1,34%"
"31 янв. 2018 г.","8,930","8,970","9,130","8,880","","-1,98%"
"30 янв. 2018 г.","9,110","9,130","9,320","8,990","","1,33%"
"29 янв. 2018 г.","8,990","8,820","9,040","8,700","","3,33%"
"26 янв. 2018 г.","8,700","8,650","8,750","8,620","","-0,34%"
"25 янв. 2018 г.","8,730","8,600","8,770","8,590","","1,16%"
"24 янв. 2018 г.","8,630","8,470","8,750","8,470","","1,65%"
"23 янв. 2018 г.","8,490","8,340","8,520","8,310","","1,80%"
"22 янв. 2018 г.","8,340","8,450","8,460","8,310","","-0,60%"
"19 янв. 2018 г.","8,390","8,430","8,460","8,360","","-0,83%"
"18 янв. 2018 г.","8,460","8,430","8,580","8,330","","0,83%"
"17 янв. 2018 г.","8,390","8,470","8,550","8,330","","-0,94%"
"16 янв. 2018 г.","8,470","8,250","8,590","8,240","","2,67%"
"12 янв. 2018 г.","8,250","8,230","8,280","8,200","","0,12%"
"11 янв. 2018 г.","8,240","8,230","8,300","8,190","","-0,72%"
"10 янв. 2018 г.","8,300","8,450","8,550","8,270","","-1,19%"
"09 янв. 2018 г.","8,400","8,370","8,440","8,320","","0,00%"
"08 янв. 2018 г.","8,400","8,460","8,480","8,320","","-0,47%"
"05 янв. 2018 г.","8,440","8,490","8,530","8,420","","-0,71%"
"04 янв. 2018 г.","8,500","8,390","8,520","8,360","","0,47%"
"03 янв. 2018 г.","8,460","8,480","8,590","8,430","","-1,51%"
"02 янв. 2018 г.","8,590","8,730","8,820","8,540","","-2,61%"